nh,dr,loss,acc
16,0.00,1.283800e+00,7.416742e-01
16,0.20,1.673727e+00,6.759676e-01
16,0.50,1.772957e+00,6.444644e-01
32,0.00,1.505690e+00,7.335734e-01
32,0.20,1.572381e+00,7.155716e-01
32,0.50,1.882560e+00,6.975698e-01
64,0.00,1.423406e+00,7.470747e-01
64,0.20,1.680462e+00,7.182718e-01
64,0.50,2.209932e+00,6.966697e-01
128,0.00,1.386000e+00,8.046805e-01
128,0.20,1.776332e+00,7.704770e-01
128,0.50,1.947697e+00,7.407741e-01
256,0.00,2.466667e+00,7.227723e-01
256,0.20,3.134137e+00,6.525653e-01
256,0.50,2.839252e+00,6.894689e-01
512,0.00,3.212590e+00,7.020702e-01
512,0.20,2.673689e+00,7.263726e-01
512,0.50,3.308757e+00,6.903690e-01
